n_dmb   m_dmb   sigma_dmb
    0     1e3    1.30e-21
    0       1    1.97e-24
    0    1e-2    2.36e-26
    0    1e-3    4.58e-27
    0    1e-4    1.73e-27
    0    1e-5    8.78e-28
    0    1e-6    4.75e-28
    2     1e3    1.20e-17
    2       1    1.47e-20
    2    1e-2    2.26e-22
    2    1e-3    2.25e-23
    2    1e-4    2.46e-24
    2    1e-5    2.97e-25
    2    1e-6    2.97e-26
    4     1e3    6.41e-14
    4       1    7.07e-15
    4    1e-2    7.78e-19
    4    1e-3    7.71e-20
    4    1e-4    3.71e-21
    4    1e-5    4.60e-23
    4    1e-6    6.32e-25
    6     1e3    1.99e-10
    6       1    3.72e-13
    6    1e-2    3.60e-15
    6    1e-3    3.64e-16
    6    1e-4    2.88e-18
    6    1e-5    5.57e-21
    6    1e-6    5.82e-24
   -2     1e3    2.64e-27
   -2       1    6.08e-30
   -2    1e-2    6.32e-32
   -2    1e-3    8.86e-33
   -2    1e-4    6.00e-33
   -2    1e-5    3.71e-33
   -2    1e-6    4.32e-33
   -4     1e3    1.15e-32
   -4       1    1.64e-35
   -4    1e-2    2.41e-37
   -4    1e-3    3.87e-38
   -4    1e-4    1.77e-38
   -4    1e-5    1.51e-38
   -4    1e-6    1.60e-38
