n_dmb   m_dmb   sigma_dmb
    0     1e3    8.89e-21
    0       1    8.42e-24
    0    1e-2    6.45e-26
    0    1e-3    1.24e-26
    0    1e-4    4.38e-27
    0    1e-5    2.09e-27
    0    1e-6    1.12e-27
    2     1e3    1.42e-16
    2       1    1.50e-19
    2    1e-2    1.97e-21
    2    1e-3    1.91e-22
    2    1e-4    8.61e-24
    2    1e-5    9.88e-25
    2    1e-6    1.11e-25
    4     1e3    1.00e-12
    4       1    9.58e-16
    4    1e-2    1.03e-17
    4    1e-3    9.52e-19
    4    1e-4    5.18e-20
    4    1e-5    3.28e-22
    4    1e-6    2.74e-24
    6     1e3    5.98e-09
    6       1    8.83e-12
    6    1e-2    7.65e-14
    6    1e-3    4.66e-15
    6    1e-4    8.95e-17
    6    1e-5    4.17e-20
    6    1e-6    5.13e-23
   -2     1e3    2.23e-26
   -2       1    2.94e-29
   -2    1e-2    5.75e-31
   -2    1e-3    3.19e-32
   -2    1e-4    2.25e-32
   -2    1e-5    1.42e-32
   -2    1e-6    1.69e-32
   -4     1e3    5.56e-32
   -4       1    5.59e-35
   -4    1e-2    8.43e-37
   -4    1e-3    9.74e-38
   -4    1e-4    4.62e-38
   -4    1e-5    3.44e-38
   -4    1e-6    4.05e-38
