n_dmb   m_dmb   sigma_dmb
    0     1e3    1.78e-22
    0     1e1    1.42e-24
    0       1    1.93e-25
    0    1e-1    1.60e-25
    0    1e-2    1.06e-25
    0    1e-3    4.28e-26
    0    1e-6    7.81e-27
    2     1e3    7.72e-16
    2     1e1    6.59e-17
    2       1    5.76e-18
    2    1e-1    8.53e-19
    2    1e-2    7.02e-20
    2    1e-3    2.83e-21
    2    1e-6    1.19e-24
    4     1e3    1.16e-08
    4     1e1    5.16e-11
    4       1    5.96e-12
    4    1e-1    1.91e-13
    4    1e-2    1.12e-15
    4    1e-3    2.05e-17
    4    1e-6    5.94e-23
    6     1e3    3.58e-02
    6     1e1    2.89e-04
    6       1    1.45e-05
    6    1e-1    8.21e-08
    6    1e-2    8.39e-11
    6    1e-3    1.63e-13
    6    1e-6    8.50e-22
   -2     1e3    1.28e-30
   -2     1e1    1.10e-32
   -2       1    3.54e-33
   -2    1e-1    1.19e-33
   -2    1e-2    1.13e-33
   -2    1e-3    1.26e-33
   -2    1e-6    1.11e-33
   -4     1e3    7.84e-39
   -4     1e1    9.31e-41
   -4       1    1.56e-41
   -4    1e-1    1.09e-41
   -4    1e-2    1.00e-41
   -4    1e-3    9.94e-42
   -4    1e-6    9.38e-42
