n_dmb   m_dmb   sigma_dmb
    0     1e3    3.05e-23
    0     1e1    5.55e-25
    0       1    8.92e-26
    0    1e-1    5.34e-26
    0    1e-2    2.73e-26
    0    1e-3    1.76e-26
    0    1e-6    3.65e-27
    2     1e3    3.91e-16
    2     1e1    5.78e-18
    2       1    7.97e-19
    2    1e-1    8.48e-20
    2    1e-2    1.16e-20
    2    1e-3    6.84e-22
    2    1e-6    4.29e-25
    4     1e3    2.30e-09
    4     1e1    3.42e-11
    4       1    2.84e-12
    4    1e-1    5.89e-14
    4    1e-2    8.72e-16
    4    1e-3    9.84e-18
    4    1e-6    1.40e-23
    6     1e3    1.95e-02
    6     1e1    7.96e-05
    6       1    8.46e-06
    6    1e-1    6.17e-08
    6    1e-2    4.82e-11
    6    1e-3    1.31e-13
    6    1e-6    2.87e-22
   -2     1e3    2.08e-31
   -2     1e1    3.98e-33
   -2       1    9.95e-34
   -2    1e-1    3.56e-34
   -2    1e-2    3.31e-34
   -2    1e-3    4.37e-34
   -2    1e-6    2.93e-34
   -4     1e3    3.38e-39
   -4     1e1    4.74e-41
   -4       1    8.37e-42
   -4    1e-1    5.24e-42
   -4    1e-2    4.64e-42
   -4    1e-3    3.93e-42
   -4    1e-6    4.30e-42
