n_dmb   m_dmb   sigma_dmb
    0     1e3    1.36e-22
    0     1e1    1.62e-24
    0       1    2.77e-25
    0    1e-1    1.45e-25
    0    1e-2    7.72e-26
    0    1e-3    5.30e-26
    0    1e-6    1.19e-26
    2     1e3    5.22e-15
    2     1e1    6.58e-17
    2       1    6.85e-18
    2    1e-1    8.52e-19
    2    1e-2    7.01e-20
    2    1e-3    5.91e-21
    2    1e-6    1.90e-24
    4     1e3    1.62e-07
    4     1e1    1.03e-09
    4       1    6.21e-11
    4    1e-1    1.13e-12
    4    1e-2    1.94e-14
    4    1e-3    1.11e-16
    4    1e-6    8.43e-23
    6     1e3    9.95e-01
    6     1e1    9.89e-03
    6       1    4.85e-04
    6    1e-1    2.13e-06
    6    1e-2    2.37e-09
    6    1e-3    2.21e-12
    6    1e-6    1.77e-21
   -2     1e3    8.91e-31
   -2     1e1    1.82e-32
   -2       1    3.30e-33
   -2    1e-1    1.15e-33
   -2    1e-2    1.16e-33
   -2    1e-3    1.26e-33
   -2    1e-6    1.15e-33
   -4     1e3    1.13e-38
   -4     1e1    1.35e-40
   -4       1    2.00e-41
   -4    1e-1    1.08e-41
   -4    1e-2    1.50e-41
   -4    1e-3    9.53e-42
   -4    1e-6    8.87e-42
